SUBSTITUUTIORYHMA;VNRNRO;PAKKAUSKOKO;RESEPTISTATUS;LAAKENIMI;VAHVUUS;LAAKEMUOTONIMI;HALTIJA;ATCKOODI;SELITES;KAUPAN;DOKUMENTAATIO;RINNAKKAISTUONTI;MYYNTILUPANRO;EUMYYNTILUPANRO
0011;016220;56;R;Losec MUPS;20 mg;enterotabletti;Cheplapharm Arzneimittel GmbH;A02BC01;omepratsoli;1;A;0;12833;
0011;016428;100 (2 x 50);R;Losec MUPS;20 mg;enterotabletti;Cheplapharm Arzneimittel GmbH;A02BC01;omepratsoli;1;A;0;12833;
0011;081512;14;K;Losec;20 mg;enterotabletti;Bayer Oy;A02BC01;omepratsoli;1;A;0;27596;
0011;081523;7;K;Losec;20 mg;enterotabletti;Bayer Oy;A02BC01;omepratsoli;1;A;0;27596;
0011;395341;100 (2 x 50);R;Losec MUPS;20 mg;enterotabletti;Orifarm Oy;A02BC01;omepratsoli;1;;1;37075;
0011;508702;56;R;Losec MUPS;20 mg;enterotabletti;Paranova Oy;A02BC01;omepratsoli;1;;1;35883;
0012;023949;98;R;Lansoprazol Krka;15 mg;enterokapseli, kova;KRKA Sverige AB;A02BC03;lansopratsoli;1;G;0;18957;
0012;182559;98;R;Zolt;15 mg;enterokapseli, kova;Orion Corporation;A02BC03;lansopratsoli;1;G;0;30272;
0012;189691;14;K;Zolt;15 mg;enterokapseli, kova;Orion Corporation;A02BC03;lansopratsoli;1;G;0;30272;
0012;490343;28;R;Gasterix;15 mg;enterokapseli, kova;ratiopharm GmbH;A02BC03;lansopratsoli;1;G;0;33910;
0012;542014;28;R;Zolt;15 mg;enterokapseli, kova;Orion Corporation;A02BC03;lansopratsoli;1;G;0;30272;
0012;557107;100 (2 x 50);R;Gasterix;15 mg;enterokapseli, kova;ratiopharm GmbH;A02BC03;lansopratsoli;1;G;0;33910;
0013;023993;98;R;Lansoprazol Krka;30 mg;enterokapseli, kova;KRKA Sverige AB;A02BC03;lansopratsoli;1;G;0;18958;
0013;047322;100 (2 x 50);R;Gasterix;30 mg;enterokapseli, kova;ratiopharm GmbH;A02BC03;lansopratsoli;1;G;0;33911;
0013;164573;14;R;Lansoprazol Krka;30 mg;enterokapseli, kova;KRKA Sverige AB;A02BC03;lansopratsoli;1;G;0;18958;
0013;164584;28;R;Lansoprazol Krka;30 mg;enterokapseli, kova;KRKA Sverige AB;A02BC03;lansopratsoli;1;G;0;18958;
0013;422300;28;R;Gasterix;30 mg;enterokapseli, kova;ratiopharm GmbH;A02BC03;lansopratsoli;1;G;0;33911;
0013;434643;28;R;Zolt;30 mg;enterokapseli, kova;Orion Corporation;A02BC03;lansopratsoli;1;G;0;30273;
0013;481467;98;R;Zolt;30 mg;enterokapseli, kova;Orion Corporation;A02BC03;lansopratsoli;1;G;0;30273;
0013;482825;14;R;Zolt;30 mg;enterokapseli, kova;Orion Corporation;A02BC03;lansopratsoli;0;G;0;30273;
0021;021185;300 ml;K;Lactulos ratiopharm;667 mg/ml;oraaliliuos;ratiopharm GmbH;A06AD11;laktuloosi;1;G;0;18436;
0021;021262;1000 ml;K;Lactulos ratiopharm;667 mg/ml;oraaliliuos;ratiopharm GmbH;A06AD11;laktuloosi;1;G;0;18436;
0021;049211;500 ml;K;Laktufarm;670 mg/ml;oraaliliuos;Orifarm Healthcare A/S;A06AD11;laktuloosi;1;A;0;6863;
0021;082669;200 ml;K;Duphalac;667 mg/ml;oraaliliuos;Viatris Oy;A06AD11;laktuloosi;1;A;0;9871;
0021;177223;500 ml;K;Levolac;670 mg/ml;oraaliliuos;Orion Corporation;A06AD11;laktuloosi;1;G;0;39481;
0021;450346;500 ml;K;Duphalac;667 mg/ml;oraaliliuos;Viatris Oy;A06AD11;laktuloosi;1;A;0;9871;
0021;450353;1000 ml;K;Duphalac;667 mg/ml;oraaliliuos;Viatris Oy;A06AD11;laktuloosi;1;A;0;9871;
0021;454610;1000 ml;K;Levolac;670 mg/ml;oraaliliuos;Orion Corporation;A06AD11;laktuloosi;1;G;0;39481;
0021;564017;1000 ml;K;Laktufarm;670 mg/ml;oraaliliuos;Orifarm Healthcare A/S;A06AD11;laktuloosi;1;A;0;6863;
0021;598189;250 ml;K;Laktufarm;670 mg/ml;oraaliliuos;Orifarm Healthcare A/S;A06AD11;laktuloosi;1;A;0;6863;
0024;037669;30;R;Imodium;2 mg;kapseli, kova;McNeil / JNTL Consumer Health (Finland) Oy;A07DA03;loperamidi;0;A;0;8087;
0024;080755;12;K;Imodium;2 mg;tabletti, suussa hajoava;McNeil / JNTL Consumer Health (Finland) Oy;A07DA03;loperamidi;1;A;0;21710;
0024;112477;10;K;Lopex;2 mg;kapseli, kova;Orion Corporation;A07DA03;loperamidi;1;A;0;11553;
0024;179636;10;K;Loperamide Grindeks;2 mg;kapseli, kova;Grindeks AS;A07DA03;loperamidi;1;G;0;40209;
0024;390825;100;R;Lopex;2 mg;kapseli, kova;Orion Corporation;A07DA03;loperamidi;1;A;0;11553;
0024;441794;10;K;Lopacut;2 mg;tabletti, kalvop‰‰llysteinen;Vitabalans Oy;A07DA03;loperamidi;1;G;0;28073;
0024;444336;20;K;Loperamide Grindeks;2 mg;kapseli, kova;Grindeks AS;A07DA03;loperamidi;1;G;0;40209;
0024;445395;30;R;Imocur;2 mg;kapseli, kova;Viatris Limited;A07DA03;loperamidi;1;G;0;12501;
