"VNR";"Voimassa";"SaatavuushairioAlkupaiva";"SaatavuushairioLoppupaiva";"Ilmoituspaiva";"Muokkauspaiva";"Yritys"
"183582";"E";"2022-09-23";"2022-11-14";"2022-09-23";"2022-11-14";"Orion Oyj"
"170636";"K";"2022-10-19";"2023-01-31";"2022-10-24";"2022-11-14";"Bavarian Nordic GmbH"
"583609";"K";"2022-11-16";"2022-12-13";"2022-11-01";"2022-11-14";"OY GE HEALTHCARE BIO-SCIENCES AB"
"010215";"E";"2022-11-09";"2022-11-15";"2022-11-09";"2022-11-14";"Santen Oy"
"085488";"K";"2022-09-21";"2022-12-30";"2022-09-20";"2022-11-14";"Baxter Oy"
"106004";"E";"2022-09-06";"2022-11-11";"2022-09-06";"2022-11-14";"Biocodex Oy"
"550236";"K";"2022-11-11";"2022-11-22";"2022-11-09";"2022-11-14";"Santen Oy"
"073783";"K";"2022-10-28";"2022-12-09";"2022-11-11";"2022-11-14";"Cheplapharm Arzneimittel GmbH"
"122638";"K";"2022-08-15";"2023-01-31";"2022-08-08";"2022-11-14";"Bavarian Nordic GmbH"
"482026";"K";"2022-08-23";"2023-02-10";"2022-07-01";"2022-11-11";"Orion Oyj"
"520091";"K";"2022-09-15";"2022-11-30";"2022-09-15";"2022-11-11";"Orifarm Healthcare Oy"
"519367";"K";"2022-11-15";"2022-12-22";"2022-11-11";"2022-11-11";"Bracco Imaging Scandinavia AB"
"580100";"K";"2022-11-09";"2022-11-25";"2022-11-11";"2022-11-11";"Orion Oyj"
"449216";"K";"2022-10-17";"2022-11-18";"2022-10-14";"2022-11-11";"Orion Oyj"
"151713";"K";"2022-10-27";"2022-11-30";"2022-10-19";"2022-11-11";"Orifarm Healthcare Oy"
"063792";"K";"2022-10-28";"2023-02-17";"2022-10-07";"2022-11-11";"Orion Oyj"
"398222";"K";"2022-11-27";"2023-01-15";"2022-11-11";"2022-11-11";"Organon Finland Oy"
"067046";"K";"2022-11-11";"2022-11-23";"2022-11-11";"2022-11-11";"Krka Finland Oy"
"104055";"K";"2022-11-09";"2022-11-25";"2022-11-11";"2022-11-11";"Orion Oyj"
"174609";"K";"2022-11-11";"2022-11-18";"2022-11-11";"2022-11-11";"Teva Finland Oy"
"508656";"K";"2022-12-01";"2022-12-21";"2022-11-11";"2022-11-11";"Krka Finland Oy"
"506963";"K";"2022-11-10";"2023-04-01";"2022-11-01";"2022-11-11";"OY GE HEALTHCARE BIO-SCIENCES AB"
"397604";"K";"2022-12-11";"2023-01-15";"2022-11-11";"2022-11-11";"Organon Finland Oy"
"020566";"K";"2023-01-11";"2023-04-28";"2022-11-11";"2022-11-11";"Vet Medic Animal Health Oy"
"400556";"K";"2022-11-12";"2023-02-28";"2022-10-19";"2022-11-11";"Orifarm Healthcare Oy"
"421006";"K";"2022-11-21";"2022-12-08";"2022-11-11";"2022-11-11";"Krka Finland Oy"
"481447";"K";"2022-11-11";"2023-03-15";"2022-11-11";"2022-11-11";"Avansor Pharma Oy"
"029570";"K";"2022-12-02";"2023-01-27";"2022-11-11";"2022-11-11";"Orion Oyj"
