"VNR";"Voimassa";"SaatavuushairioAlkupaiva";"SaatavuushairioLoppupaiva";"Ilmoituspaiva";"Muokkauspaiva";"Yritys"
"562556";"K";"2022-12-05";"2023-01-06";"2022-10-11";"2022-11-16";"Sanofy Oy"
"038288";"K";"2022-12-01";"2022-12-26";"2022-11-16";"2022-11-16";"Daiichi Sankyo Europe GmbH (Zielstattstrasse 48, 81379 M"
"440064";"K";"2022-11-07";"2022-11-29";"2022-11-03";"2022-11-16";"Santen Oy"
"398493";"K";"2022-11-08";"2022-11-25";"2022-11-08";"2022-11-16";"Merck Oy"
"028761";"K";"2022-11-22";"2023-01-27";"2022-10-19";"2022-11-16";"Sanofy Oy"
"381046";"K";"2022-11-01";"2022-12-05";"2022-08-24";"2022-11-16";"Aspen Nordic, branch of Aspen Pharma Ireland Limited."
"539031";"K";"2022-11-27";"2023-02-10";"2022-08-10";"2022-11-16";"Sanofy Oy"
"084948";"K";"2022-11-16";"2022-11-22";"2022-10-26";"2022-11-16";"Sanofy Oy"
"150360";"K";"2022-11-18";"2022-11-25";"2022-11-16";"2022-11-16";"Merck Oy"
"467696";"K";"2022-12-04";"2022-12-16";"2022-11-09";"2022-11-16";"Sanofy Oy"
"135210";"K";"2022-11-18";"2022-12-23";"2022-10-05";"2022-11-16";"Sanofy Oy"
"527403";"K";"2021-11-05";"2022-11-18";"2021-11-05";"2022-11-16";"GlaxoSmithKline Oy"
"060132";"K";"2022-11-16";"2023-04-24";"2022-11-01";"2022-11-15";"Teva Finland Oy"
"404517";"K";"2022-11-21";"2023-01-09";"2022-08-23";"2022-11-15";"Teva Finland Oy"
"405076";"K";"2022-11-08";"2022-12-05";"2022-11-01";"2022-11-15";"Teva Finland Oy"
"560087";"K";"2022-10-01";"2023-04-06";"2022-09-06";"2022-11-15";"Teva Finland Oy"
"406737";"K";"2023-01-15";"2023-03-09";"2022-11-09";"2022-11-15";"Sandoz A/S"
"055130";"K";"2022-10-12";"2023-03-31";"2022-10-04";"2022-11-15";"Teva Finland Oy"
"055108";"K";"2022-08-09";"2023-03-31";"2022-07-26";"2022-11-15";"Teva Finland Oy"
"055084";"K";"2022-12-07";"2022-12-19";"2022-11-15";"2022-11-15";"Teva Finland Oy"
"050306";"K";"2022-08-15";"2022-11-25";"2022-07-26";"2022-11-15";"Teva Finland Oy"
"050297";"K";"2022-10-14";"2023-02-13";"2022-09-20";"2022-11-15";"Teva Finland Oy"
"558576";"K";"2022-11-13";"2023-02-14";"2022-06-04";"2022-11-15";"Sandoz A/S"
"557982";"K";"2022-11-09";"2022-12-05";"2022-11-01";"2022-11-15";"Teva Finland Oy"
"046944";"E";"2022-04-08";"2022-11-15";"2022-04-01";"2022-11-15";"Abacus Medicine A/S"
"046724";"K";"2022-11-10";"2023-01-09";"2022-10-18";"2022-11-15";"Teva Finland Oy"
"555176";"K";"2022-12-13";"2023-03-17";"2022-09-19";"2022-11-15";"Sandoz A/S"
"554955";"K";"2022-11-25";"2022-12-17";"2022-09-12";"2022-11-15";"Sandoz A/S"
"553844";"K";"2022-11-01";"2022-12-12";"2022-08-05";"2022-11-15";"Sandoz A/S"
"044573";"K";"2022-10-05";"2022-12-12";"2022-10-04";"2022-11-15";"Teva Finland Oy"
"044006";"K";"2022-10-17";"2022-11-24";"2022-10-13";"2022-11-15";"Abacus Medicine A/S"
"133229";"K";"2022-11-01";"2023-05-20";"2022-09-06";"2022-11-15";"Teva Finland Oy"
"441274";"K";"2022-12-05";"2023-02-27";"2022-11-15";"2022-11-15";"Teva Finland Oy"
"124267";"K";"2022-10-14";"2023-03-27";"2022-07-26";"2022-11-15";"Teva Finland Oy"
"449076";"K";"2022-11-09";"2022-12-07";"2022-03-29";"2022-11-15";"Sandoz A/S"
"451155";"K";"2022-11-09";"2022-12-20";"2022-03-29";"2022-11-15";"Sandoz A/S"
